id,indexed,hangul,ipa,POS,abs_freq,rel_freq
2,것,것,k ʌ t,NNB,306021,1.847
7,수__02,수,sʰ u,NNB,117579,0.71
9,그,그,k ɯ,MM,109987,0.664
12,나,나,n ɑ,NP,97710,0.59
13,말__01,말,m ɑ l,NNG,83043,0.501
14,그,그,k ɯ,NP,82906,0.5
15,사람,사람,sʰ ɑ l ɑ m,NNG,71851,0.434
16,이__05,이,i,MM,66843,0.404
18,등__05,등,t ɯ ŋ,NNB,59297,0.358
19,우리,우리,u l i,NP,58091,0.351
22,때__01,때,t* ɛ,NNG,54689,0.33
23,년__02,년,n jʌ n,NNB,52668,0.318
26,일__01,일,i l,NNG,46490,0.281
28,이,이,i,NP,40548,0.245
29,생각__01,생각,sʰ ɛ ŋ k ɑ k,NNG,39918,0.241
31,때문,때문,t* ɛ m u n,NNB,39053,0.236
33,한,한,h ɑ n,MM,36680,0.221
34,그것,그것,k ɯ k ʌ t,NP,36517,0.22
35,그러나,그러나,k ɯ l ʌ n ɑ,MAJ,36148,0.218
38,일,일,i l,NNB,32845,0.198
41,사회__07,사회,sʰ ɑ h wɛ,NNG,28750,0.174
42,더,더,t ʌ,MAG,27750,0.168
44,그녀,그녀,k ɯ n jʌ,NP,27087,0.164
45,문제__06,문제,m u n tɕ ɛ,NNG,26805,0.162
46,또,또,t* o,MAG,26735,0.161
48,그리고,그리고,k ɯ l i k o,MAJ,26098,0.158
50,속__01,속,sʰ o k,NNG,25529,0.154
51,씨,씨,s* i,NNB,24906,0.15
53,월,월,wʌ l,NNB,23928,0.144
59,집__01,집,tɕ i p,NNG,22351,0.135
60,중__04,중,tɕ u ŋ,NNB,22042,0.133
61,경우__03,경우,k jʌ ŋ u,NNG,22017,0.133
63,명,명,m jʌ ŋ,NNB,21856,0.132
65,자신__01,자신,tɕ ɑ sʰ i n,NNG,21557,0.13
66,두,두,t u,MM,21016,0.127
67,하나,하나,h ɑ n ɑ,NR,20927,0.126
68,안,안,ɑ n,MAG,20439,0.123
69,그런,그런,k ɯ l ʌ n,MM,20008,0.121
70,내,내,n ɛ,NP,19858,0.12
71,다시,다시,t ɑ sʰ i,MAG,19711,0.119
72,데,데,t ɛ,NNB,19200,0.116
73,다른,다른,t ɑ l ɯ n,MM,18981,0.115
74,번,번,p ʌ n,NNB,18871,0.114
75,앞,앞,ɑ p,NNG,18776,0.113
76,시작__01,시작,sʰ i tɕ ɑ k,NNG,18496,0.112
77,잘,잘,tɕ ɑ l,MAG,18464,0.111
78,한국,한국,h ɑ n k u k,NNP,18054,0.109
80,원__01,원,wʌ n,NNB,17857,0.108
82,시간__04,시간,sʰ i k ɑ n,NNG,17621,0.106
83,아이__01,아이,ɑ i,NNG,17545,0.106
84,세계__02,세계,sʰ ɛ k jɛ,NNG,17367,0.105
85,소리__01,소리,sʰ o l i,NNG,17297,0.104
86,무엇,무엇,m u ʌ t,NP,17229,0.104
89,정부__08,정부,tɕ ʌ ŋ p u,NNG,16984,0.103
90,사실__04,사실,sʰ ɑ sʰ i l,NNG,16947,0.102
94,뒤__01,뒤,t wi,NNG,16699,0.101
95,이런,이런,i l ʌ n,MM,16266,0.098
96,개,개,k ɛ,NNB,16176,0.098
97,눈__01,눈,n u n,NNG,16031,0.097
98,미국,미국,m i k u k,NNP,16022,0.097
99,거,거,k ʌ,NNB,16021,0.097
101,여자__02,여자,jʌ tɕ ɑ,NNG,15643,0.094
102,자기,자기,tɕ ɑ k i,NP,15617,0.094
103,필요,필요,pʰ i l jo,NNG,15536,0.094
104,어떤,어떤,ʌ t* ʌ n,MM,15449,0.093
105,함께,함께,h ɑ m k* ɛ,MAG,15296,0.092
106,정도__11,정도,tɕ ʌ ŋ t o,NNG,15184,0.092
108,인간__01,인간,i n k ɑ n,NNG,15108,0.091
109,한__01,한,h ɑ n,MM,15049,0.091
110,문화__01,문화,m u n h wa,NNG,15042,0.091
111,전__08,전,tɕ ʌ n,NNG,14780,0.089
112,만,만,m ɑ n,NR,14513,0.088
113,다,다,t ɑ,MAG,14461,0.087
114,경제__04,경제,k jʌ ŋ tɕ ɛ,NNG,14374,0.087
115,가장__01,가장,k ɑ tɕ ɑ ŋ,MAG,14363,0.087
120,곳__01,곳,k o t,NNG,13872,0.084
120,모든,모든,m o t ɯ n,MM,13872,0.084
122,마음__01,마음,m ɑ ɯ m,NNG,13587,0.082
123,일본,일본,i l p o n,NNP,13551,0.082
124,누구,누구,n u k u,NP,13513,0.082
125,어느,어느,ʌ n ɯ,MM,13428,0.081
126,정치__03,정치,tɕ ʌ ŋ tɕʰ i,NNG,13426,0.081
127,없이,없이,ʌ p s* i,MAG,13384,0.081
128,위__01,위,wi,NNG,13303,0.08
129,이야기,이야기,i ja k i,NNG,13253,0.08
133,백,백,p ɛ k,NR,12892,0.078
136,날__01,날,n ɑ l,NNG,12778,0.077
137,얼굴,얼굴,ʌ l k u l,NNG,12777,0.077
138,의미,의미,ɰi m i,NNG,12755,0.077
139,가능,가능,k ɑ n ɯ ŋ,NNG,12571,0.076
140,나라,나라,n ɑ l ɑ,NNG,12568,0.076
141,못,못,m o t,MAG,12565,0.076
142,관계__05,관계,k wa n k jɛ,NNG,12535,0.076
143,어머니,어머니,ʌ m ʌ n i,NNG,12489,0.075
144,점__10,점,tɕ ʌ m,NNG,12475,0.075
145,다음__01,다음,t ɑ ɯ m,NNG,12330,0.074
146,길__01,길,k i l,NNG,12289,0.074
147,이것,이것,i k ʌ t,NP,12284,0.074
148,바로,바로,p ɑ l o,MAG,12279,0.074
149,동안__01,동안,t o ŋ ɑ n,NNG,12276,0.074
150,듯,듯,t ɯ t,NNB,12262,0.074
151,서울,서울,sʰ ʌ u l,NNP,12239,0.074
153,모두,모두,m o t u,MAG,11966,0.072
154,운동__02,운동,u n t o ŋ,NNG,11956,0.072
155,손__01,손,sʰ o n,NNG,11953,0.072
156,및,및,m i t,MAG,11948,0.072
157,시대__02,시대,sʰ i t ɛ,NNG,11886,0.072
158,뿐,뿐,p* u n,NNB,11871,0.072
159,아버지,아버지,ɑ p ʌ tɕ i,NNG,11835,0.071
160,안__01,안,ɑ n,NNG,11825,0.071
161,가지,가지,k ɑ tɕ i,NNB,11643,0.07
162,이상__05,이상,i sʰ ɑ ŋ,NNG,11628,0.07
163,사랑__01,사랑,sʰ ɑ l ɑ ŋ,NNG,11615,0.07
164,몇,몇,m jʌ t,MM,11601,0.07
166,몸__01,몸,m o m,NNG,11426,0.069
169,기업__01,기업,k i ʌ p,NNG,11332,0.068
170,저,저,tɕ ʌ,NP,11329,0.068
171,지역__03,지역,tɕ i jʌ k,NNG,11308,0.068
172,국가__01,국가,k u k k* ɑ,NNG,11250,0.068
175,여성__01,여성,jʌ sʰ ʌ ŋ,NNG,11065,0.067
177,사이__01,사이,sʰ ɑ i,NNG,11050,0.067
181,그런데,그런데,k ɯ l ʌ n t ɛ,MAJ,10978,0.066
182,교육,교육,k jo ju k,NNG,10965,0.066
183,돈__01,돈,t o n,NNG,10945,0.066
186,역사__04,역사,jʌ k s* ɑ,NNG,10927,0.066
187,선생__01,선생,sʰ ʌ n sʰ ɛ ŋ,NNG,10781,0.065
188,어디,어디,ʌ t i,NP,10775,0.065
189,천,천,tɕʰ ʌ n,NR,10754,0.065
190,여기,여기,jʌ k i,NP,10646,0.064
191,모습__01,모습,m o sʰ ɯ p,NNG,10637,0.064
194,지금__03,지금,tɕ i k ɯ m,NNG,10563,0.064
195,처음,처음,tɕʰ ʌ ɯ m,NNG,10509,0.063
196,생활,생활,sʰ ɛ ŋ h wa l,NNG,10505,0.063
197,대학__01,대학,t ɛ h ɑ k,NNG,10466,0.063
199,자리__01,자리,tɕ ɑ l i,NNG,10340,0.062
200,중요__02,중요,tɕ u ŋ jo,NNG,10202,0.062
201,특히,특히,tʰ ɯ kʰ i,MAG,10139,0.061
202,너,너,n ʌ,NP,10118,0.061
203,이번__01,이번,i p ʌ n,NNG,10104,0.061
205,여러,여러,jʌ l ʌ,MM,10002,0.06
206,후__08,후,h u,NNG,9940,0.06
208,아직,아직,ɑ tɕ i k,MAG,9908,0.06
209,기자__05,기자,k i tɕ ɑ,NNG,9795,0.059
210,학교,학교,h ɑ k k* jo,NNG,9700,0.059
211,그래서,그래서,k ɯ l ɛ sʰ ʌ,MAJ,9697,0.059
213,왜,왜,wɛ,MAG,9652,0.058
214,방법,방법,p ɑ ŋ p ʌ p,NNG,9537,0.058
216,이미,이미,i m i,MAG,9480,0.057
217,영화__01,영화,jʌ ŋ h wa,NNG,9456,0.057
218,문학__01,문학,m u n h ɑ k,NNG,9427,0.057
219,대통령,대통령,t ɛ tʰ o ŋ n jʌ ŋ,NNG,9416,0.057
221,사용__04,사용,sʰ ɑ jo ŋ,NNG,9386,0.057
222,좀,좀,tɕ o m,MAG,9375,0.057
223,많이,많이,m ɑ n h i,MAG,9356,0.056
224,남자__02,남자,n ɑ m tɕ ɑ,NNG,9344,0.056
225,국민,국민,k u ŋ m i n,NNG,9333,0.056
226,또한,또한,t* o h ɑ n,MAG,9288,0.056
227,관련,관련,k wa l l jʌ n,NNG,9276,0.056
228,연구__03,연구,jʌ n k u,NNG,9235,0.056
231,시장__04,시장,sʰ i tɕ ɑ ŋ,NNG,9212,0.056
233,사건__01,사건,sʰ ɑ k ʌ n,NNG,9168,0.055
234,세상__01,세상,sʰ ɛ sʰ ɑ ŋ,NNG,9099,0.055
235,삶,삶,sʰ ɑ m,NNG,9090,0.055
236,결과__02,결과,k jʌ l k wa,NNG,9014,0.054
237,이제,이제,i tɕ ɛ,MAG,9003,0.054
238,같이,같이,k ɑ tɕʰ i,MAG,8997,0.054
239,물론,물론,m u l l o n,MAG,8988,0.054
241,책__01,책,tɕʰ ɛ k,NNG,8961,0.054
242,과정__03,과정,k wa tɕ ʌ ŋ,NNG,8940,0.054
243,현실__02,현실,h jʌ n sʰ i l,NNG,8933,0.054
244,쪽__05,쪽,tɕ* o k,NNB,8922,0.054
245,시,시,sʰ i,NNB,8910,0.054
248,또는,또는,t* o n ɯ n,MAG,8666,0.052
249,얘기,얘기,jɛ k i,NNG,8660,0.052
250,가운데,가운데,k ɑ u n t ɛ,NNG,8619,0.052
251,북한,북한,p u kʰ ɑ n,NNP,8594,0.052
252,내용__02,내용,n ɛ jo ŋ,NNG,8582,0.052
253,이름,이름,i l ɯ m,NNG,8552,0.052
254,주장__03,주장,tɕ u tɕ ɑ ŋ,NNG,8539,0.052
255,무슨,무슨,m u sʰ ɯ n,MM,8505,0.051
257,물__01,물,m u l,NNG,8446,0.051
259,학생,학생,h ɑ k s* ɛ ŋ,NNG,8256,0.05
260,억,억,ʌ k,NR,8217,0.05
261,이유__04,이유,i ju,NNG,8211,0.05
262,활동__02,활동,h wa l t o ŋ,NNG,8202,0.05
263,이후__02,이후,i h u,NNG,8113,0.049
264,그때,그때,k ɯ t* ɛ,NNG,8066,0.049
265,중국,중국,tɕ u ŋ k u k,NNP,8047,0.049
266,힘__01,힘,h i m,NNG,8024,0.048
267,정보__06,정보,tɕ ʌ ŋ p o,NNG,8019,0.048
268,기술__01,기술,k i sʰ u l,NNG,7965,0.048
269,뜻,뜻,t* ɯ t,NNG,7945,0.048
270,너무,너무,n ʌ m u,MAG,7938,0.048
272,상황__02,상황,sʰ ɑ ŋ h wa ŋ,NNG,7827,0.047
273,조사__30,조사,tɕ o sʰ ɑ,NNG,7816,0.047
274,간__10,간,k ɑ n,NNB,7770,0.047
275,하지만,하지만,h ɑ tɕ i m ɑ n,MAJ,7735,0.047
277,채__09,채,tɕʰ ɛ,NNB,7708,0.047
279,정신__12,정신,tɕ ʌ ŋ sʰ i n,NNG,7666,0.046
280,더욱,더욱,t ʌ u k,MAG,7646,0.046
281,변화,변화,p jʌ n h wa,NNG,7621,0.046
282,소설__03,소설,sʰ o sʰ ʌ l,NNG,7579,0.046
283,환경__02,환경,h wa n k jʌ ŋ,NNG,7568,0.046
284,즉,즉,tɕ ɯ k,MAG,7567,0.046
286,따라서,따라서,t* ɑ l ɑ sʰ ʌ,MAJ,7517,0.045
287,작품__01,작품,tɕ ɑ k pʰ u m,NNG,7497,0.045
288,친구__02,친구,tɕʰ i n k u,NNG,7496,0.045
289,지금__03,지금,tɕ i k ɯ m,MAG,7490,0.045
291,민족,민족,m i n tɕ o k,NNG,7449,0.045
292,방__07,방,p ɑ ŋ,NNG,7396,0.045
292,김,김,k i m,NNP,7396,0.045
294,밖,밖,p ɑ k,NNG,7380,0.045
295,당신,당신,t ɑ ŋ sʰ i n,NP,7359,0.044
296,정책__02,정책,tɕ ʌ ŋ tɕʰ ɛ k,NNG,7339,0.044
297,역시,역시,jʌ k s* i,MAG,7325,0.044
298,머리__01,머리,m ʌ l i,NNG,7263,0.044
300,상태__01,상태,sʰ ɑ ŋ tʰ ɛ,NNG,7195,0.043
302,대표,대표,t ɛ pʰ jo,NNG,7162,0.043
303,자연__01,자연,tɕ ɑ jʌ n,NNG,7161,0.043
305,입,입,i p,NNG,7072,0.043
307,제도__01,제도,tɕ ɛ t o,NNG,7059,0.043
308,단체__02,단체,t ɑ n tɕʰ ɛ,NNG,7052,0.043
309,회사__04,회사,h wɛ sʰ ɑ,NNG,7049,0.043
311,이해__06,이해,i h ɛ,NNG,7015,0.042
313,개발,개발,k ɛ p ɑ l,NNG,6962,0.042
314,글,글,k ɯ l,NNG,6936,0.042
315,결정__01,결정,k jʌ l tɕ ʌ ŋ,NNG,6927,0.042
316,최근,최근,tɕʰ wɛ k ɯ n,NNG,6913,0.042
317,발전__01,발전,p ɑ l tɕ ʌ n,NNG,6899,0.042
318,오늘,오늘,o n ɯ l,NNG,6897,0.042
320,존재,존재,tɕ o n tɕ ɛ,NNG,6882,0.042
321,시민,시민,sʰ i m i n,NNG,6881,0.042
322,의식__03,의식,ɰi sʰ i k,NNG,6873,0.041
323,밤__01,밤,p ɑ m,NNG,6866,0.041
325,엄마,엄마,ʌ m m ɑ,NNG,6845,0.041
327,구조__08,구조,k u tɕ o,NNG,6798,0.041
328,과학,과학,k wa h ɑ k,NNG,6784,0.041
330,자유__03,자유,tɕ ɑ ju,NNG,6770,0.041
331,남편__01,남편,n ɑ m pʰ jʌ n,NNG,6731,0.041
332,당시__02,당시,t ɑ ŋ sʰ i,NNG,6690,0.04
333,곧,곧,k o t,MAG,6637,0.04
334,끝,끝,k* ɯ t,NNG,6611,0.04
336,산업,산업,sʰ ɑ n ʌ p,NNG,6591,0.04
337,대상__11,대상,t ɛ sʰ ɑ ŋ,NNG,6568,0.04
338,땅,땅,t* ɑ ŋ,NNG,6562,0.04
339,먼저,먼저,m ʌ n tɕ ʌ,MAG,6557,0.04
340,결국,결국,k jʌ l k u k,NNG,6518,0.039
341,요구__03,요구,jo k u,NNG,6510,0.039
342,관심__01,관심,k wa n sʰ i m,NNG,6487,0.039
343,계획__01,계획,k jɛ h wɛ k,NNG,6439,0.039
345,설명,설명,sʰ ʌ l m jʌ ŋ,NNG,6424,0.039
346,거의,거의,k ʌ ɰi,MAG,6422,0.039
347,자체__02,자체,tɕ ɑ tɕʰ ɛ,NNG,6407,0.039
348,생산,생산,sʰ ɛ ŋ sʰ ɑ n,NNG,6356,0.038
349,전체__01,전체,tɕ ʌ n tɕʰ ɛ,NNG,6348,0.038
351,뭐,뭐,m wʌ,NP,6312,0.038
352,거기,거기,k ʌ k i,NP,6261,0.038
355,모양__02,모양,m o ja ŋ,NNG,6223,0.038
356,법,법,p ʌ p,NNG,6221,0.038
358,일반__02,일반,i l p ɑ n,NNG,6181,0.037
359,도시__03,도시,t o sʰ i,NNG,6155,0.037
360,이용__01,이용,i jo ŋ,NNG,6108,0.037
361,교수__06,교수,k jo sʰ u,NNG,6098,0.037
362,얼마나,얼마나,ʌ l m ɑ n ɑ,MAG,6085,0.037
364,적__03,적,tɕ ʌ k,NNB,6036,0.036
365,가족__01,가족,k ɑ tɕ o k,NNG,6024,0.036
367,중심__01,중심,tɕ u ŋ sʰ i m,NNG,6009,0.036
369,표현,표현,pʰ jo h jʌ n,NNG,5935,0.036
370,개인__02,개인,k ɛ i n,NNG,5893,0.036
371,가슴__01,가슴,k ɑ sʰ ɯ m,NNG,5885,0.036
372,시__13,시,sʰ i,NNG,5842,0.035
373,마을__01,마을,m ɑ ɯ l,NNG,5841,0.035
375,전화__07,전화,tɕ ʌ n h wa,NNG,5833,0.035
376,부분__01,부분,p u p u n,NNG,5821,0.035
378,년대,년대,n jʌ n t ɛ,NNB,5768,0.035
381,서로,서로,sʰ ʌ l o,MAG,5739,0.035
381,전쟁,전쟁,tɕ ʌ n tɕ ɛ ŋ,NNG,5739,0.035
383,평가__03,평가,pʰ jʌ ŋ k ɑ,NNG,5724,0.035
384,아주,아주,ɑ tɕ u,MAG,5721,0.035
385,줄__04,줄,tɕ u l,NNB,5718,0.035
386,조선,조선,tɕ o sʰ ʌ n,NNP,5698,0.034
387,그대로,그대로,k ɯ t ɛ l o,MAG,5675,0.034
388,술__01,술,sʰ u l,NNG,5651,0.034
389,조직,조직,tɕ o tɕ i k,NNG,5645,0.034
390,해__01,해,h ɛ,NNG,5641,0.034
391,세,세,sʰ ɛ,MM,5630,0.034
392,역할,역할,jʌ kʰ ɑ l,NNG,5628,0.034
395,신문__10,신문,sʰ i n m u n,NNG,5576,0.034
396,의원__05,의원,ɰi wʌ n,NNG,5571,0.034
397,분__08,분,p u n,NNB,5567,0.034
401,만큼,만큼,m ɑ n kʰ ɯ m,NNB,5547,0.033
402,대부분,대부분,t ɛ p u p u n,NNG,5541,0.033
403,선거__04,선거,sʰ ʌ n k ʌ,NNG,5539,0.033
405,기관__11,기관,k i k wa n,NNG,5510,0.033
406,터,터,tʰ ʌ,NNB,5498,0.033
407,체제__02,체제,tɕʰ ɛ tɕ ɛ,NNG,5490,0.033
409,사업__04,사업,sʰ ɑ ʌ p,NNG,5455,0.033
411,아내__01,아내,ɑ n ɛ,NNG,5401,0.033
412,국내__02,국내,k u ŋ n ɛ,NNG,5391,0.033
413,국제__02,국제,k u k tɕ* ɛ,NNG,5389,0.033
415,오히려,오히려,o h i l jʌ,MAG,5352,0.032
416,구성__07,구성,k u sʰ ʌ ŋ,NNG,5350,0.032
417,현상__04,현상,h jʌ n sʰ ɑ ŋ,NNG,5340,0.032
418,아들,아들,ɑ t ɯ l,NNG,5335,0.032
419,순간__03,순간,sʰ u n k ɑ n,NNG,5326,0.032
420,아래__01,아래,ɑ l ɛ,NNG,5311,0.032
422,아침,아침,ɑ tɕʰ i m,NNG,5295,0.032
423,마련,마련,m ɑ l jʌ n,NNG,5269,0.032
424,금융,금융,k ɯ m ju ŋ,NNG,5264,0.032
425,인식,인식,i n sʰ i k,NNG,5262,0.032
426,죽음__01,죽음,tɕ u k ɯ m,NNG,5256,0.032
427,작가__01,작가,tɕ ɑ k k* ɑ,NNG,5253,0.032
428,예술,예술,jɛ sʰ u l,NNG,5247,0.032
429,지방__05,지방,tɕ i p ɑ ŋ,NNG,5240,0.032
429,지원__02,지원,tɕ i wʌ n,NNG,5240,0.032
429,바__03,바,p ɑ,NNB,5240,0.032
433,달__05,달,t ɑ l,NNG,5225,0.032
435,기능__03,기능,k i n ɯ ŋ,NNG,5212,0.031
437,생명,생명,sʰ ɛ ŋ m jʌ ŋ,NNG,5205,0.031
438,언론,언론,ʌ l l o n,NNG,5191,0.031
439,하늘,하늘,h ɑ n ɯ l,NNG,5161,0.031
440,목소리,목소리,m o k s* o l i,NNG,5159,0.031
441,남__01,남,n ɑ m,NNG,5144,0.031
442,하루__01,하루,h ɑ l u,NNG,5124,0.031
444,노력__01,노력,n o l jʌ k,NNG,5107,0.031
445,저,저,tɕ ʌ,MM,5090,0.031
446,일부__02,일부,i l p u,NNG,5085,0.031
447,이제__01,이제,i tɕ ɛ,NNG,5057,0.031
448,측,측,tɕʰ ɯ k,NNB,5052,0.03
449,고개__01,고개,k o k ɛ,NNG,5048,0.03
450,방식__01,방식,p ɑ ŋ sʰ i k,NNG,5040,0.03
450,통일__02,통일,tʰ o ŋ i l,NNG,5040,0.03
452,만__02,만,m ɑ n,NNB,5039,0.03
453,확인__02,확인,h wa k i n,NNG,5007,0.03
454,세기__03,세기,sʰ ɛ k i,NNG,4984,0.03
455,현재,현재,h jʌ n tɕ ɛ,MAG,4982,0.03
456,은행__02,은행,ɯ n h ɛ ŋ,NNG,4977,0.03
457,결혼,결혼,k jʌ l h o n,NNG,4958,0.03
458,나무__01,나무,n ɑ m u,NNG,4951,0.03
459,각,각,k ɑ k,MM,4945,0.03
460,문__05,문,m u n,NNG,4943,0.03
461,컴퓨터,컴퓨터,kʰ ʌ m pʰ ju tʰ ʌ,NNG,4897,0.03
463,행위,행위,h ɛ ŋ wi,NNG,4883,0.029
464,정말,정말,tɕ ʌ ŋ m ɑ l,MAG,4879,0.029
465,대답,대답,t ɛ t ɑ p,NNG,4875,0.029
466,발표__01,발표,p ɑ l pʰ jo,NNG,4855,0.029
467,혼자__01,혼자,h o n tɕ ɑ,NNG,4845,0.029
468,기록__02,기록,k i l o k,NNG,4839,0.029
469,방송__01,방송,p ɑ ŋ sʰ o ŋ,NNG,4833,0.029
470,놈,놈,n o m,NNB,4816,0.029
471,참여,참여,tɕʰ ɑ m jʌ,NNG,4805,0.029
472,개혁,개혁,k ɛ h jʌ k,NNG,4790,0.029
474,준비,준비,tɕ u n p i,NNG,4776,0.029
475,기억,기억,k i ʌ k,NNG,4771,0.029
476,발견__01,발견,p ɑ l k jʌ n,NNG,4770,0.029
477,대신__03,대신,t ɛ sʰ i n,NNG,4768,0.029
480,작업__01,작업,tɕ ɑ k ʌ p,NNG,4744,0.029
481,입장__04,입장,i p tɕ* ɑ ŋ,NNG,4740,0.029
482,효과__01,효과,h jo k wa,NNG,4734,0.029
483,옆,옆,jʌ p,NNG,4713,0.028
484,형__01,형,h jʌ ŋ,NNG,4704,0.028
485,지적__05,지적,tɕ i tɕ ʌ k,NNG,4691,0.028
486,다양,다양,t ɑ ja ŋ,NNG,4688,0.028
487,내,내,n ɛ,NNB,4684,0.028
488,노래__01,노래,n o l ɛ,NNG,4682,0.028
489,행동,행동,h ɛ ŋ t o ŋ,NNG,4680,0.028
490,수준,수준,sʰ u tɕ u n,NNG,4674,0.028
491,해결__02,해결,h ɛ k jʌ l,NNG,4670,0.028
492,지배__01,지배,tɕ i p ɛ,NNG,4660,0.028
493,마치,마치,m ɑ tɕʰ i,MAG,4658,0.028
494,가치__06,가치,k ɑ tɕʰ i,NNG,4653,0.028
495,규모,규모,k ju m o,NNG,4634,0.028
496,예__08,예,jɛ,NNG,4633,0.028
497,계속__04,계속,k jɛ sʰ o k,NNG,4631,0.028
498,그림__01,그림,k ɯ l i m,NNG,4614,0.028
499,새,새,sʰ ɛ,MM,4599,0.028
500,전통__06,전통,tɕ ʌ n tʰ o ŋ,NNG,4589,0.028
501,투자__02,투자,tʰ u tɕ ɑ,NNG,4587,0.028
502,능력__02,능력,n ɯ ŋ n jʌ k,NNG,4557,0.028
503,이론__01,이론,i l o n,NNG,4555,0.027
503,얼마,얼마,ʌ l m ɑ,NNG,4555,0.027
505,옷,옷,o t,NNG,4550,0.027
506,전혀__01,전혀,tɕ ʌ n h jʌ,MAG,4549,0.027
507,꿈__01,꿈,k* u m,NNG,4524,0.027
508,과거__03,과거,k wa k ʌ,NNG,4523,0.027
509,바람__01,바람,p ɑ l ɑ m,NNG,4513,0.027
510,매우,매우,m ɛ u,MAG,4507,0.027
512,우선,우선,u sʰ ʌ n,MAG,4490,0.027
513,대__06,대,t ɛ,NNB,4476,0.027
513,집단,집단,tɕ i p t* ɑ n,NNG,4476,0.027
518,포함__02,포함,pʰ o h ɑ m,NNG,4407,0.027
519,부모__01,부모,p u m o,NNG,4395,0.027
520,상대__04,상대,sʰ ɑ ŋ t ɛ,NNG,4393,0.027
521,형태,형태,h jʌ ŋ tʰ ɛ,NNG,4366,0.026
522,영향__04,영향,jʌ ŋ h ja ŋ,NNG,4363,0.026
523,광고__02,광고,k wa ŋ k o,NNG,4360,0.026
524,경험,경험,k jʌ ŋ h ʌ m,NNG,4350,0.026
526,반대__03,반대,p ɑ n t ɛ,NNG,4262,0.026
527,차__06,차,tɕʰ ɑ,NNG,4260,0.026
528,경찰__04,경찰,k jʌ ŋ tɕʰ ɑ l,NNG,4254,0.026
529,후보__04,후보,h u p o,NNG,4252,0.026
529,분석__02,분석,p u n sʰ ʌ k,NNG,4252,0.026
531,기대__03,기대,k i t ɛ,NNG,4245,0.026
532,언어__01,언어,ʌ n ʌ,NNG,4244,0.026
534,발생,발생,p ɑ l sʰ ɛ ŋ,NNG,4224,0.025
537,책임,책임,tɕʰ ɛ k i m,NNG,4203,0.025
538,표정__03,표정,pʰ jo tɕ ʌ ŋ,NNG,4182,0.025
539,나이__01,나이,n ɑ i,NNG,4180,0.025
539,계속,계속,k jɛ sʰ o k,MAG,4180,0.025
544,공부__01,공부,k o ŋ p u,NNG,4150,0.025
545,꼭__03,꼭,k* o k,MAG,4146,0.025
545,마지막,마지막,m ɑ tɕ i m ɑ k,NNG,4146,0.025
547,단계__03,단계,t ɑ n k jɛ,NNG,4139,0.025
548,꽃__01,꽃,k* o t,NNG,4136,0.025
549,면__05,면,m jʌ n,NNG,4130,0.025
551,마찬가지,마찬가지,m ɑ tɕʰ ɑ n k ɑ tɕ i,NNG,4116,0.025
552,유지__09,유지,ju tɕ i,NNG,4107,0.025
553,비판__01,비판,p i pʰ ɑ n,NNG,4099,0.025
555,혹은,혹은,h o k ɯ n,MAG,4093,0.025
556,관리__04,관리,k wa l l i,NNG,4091,0.025
557,분야,분야,p u n ja,NNG,4083,0.025
557,갑자기,갑자기,k ɑ p tɕ* ɑ k i,MAG,4083,0.025
559,인물,인물,i n m u l,NNG,4079,0.025
561,환자__03,환자,h wa n tɕ ɑ,NNG,4068,0.025
562,바다,바다,p ɑ t ɑ,NNG,4062,0.025
563,확대__02,확대,h wa k t* ɛ,NNG,4053,0.024
563,첫,첫,tɕʰ ʌ t,MM,4053,0.024
565,분명,분명,p u n m jʌ ŋ,MAG,4049,0.024
566,강조__02,강조,k ɑ ŋ tɕ o,NNG,4047,0.024
567,동시__02,동시,t o ŋ sʰ i,NNG,4044,0.024
568,미,미,m i,NNP,4043,0.024
569,차,차,tɕʰ ɑ,NNB,4039,0.024
570,불__01,불,p u l,NNG,4031,0.024
571,산__01,산,sʰ ɑ n,NNG,4030,0.024
572,회의__04,회의,h wɛ ɰi,NNG,4028,0.024
573,장관__02,장관,tɕ ɑ ŋ k wa n,NNG,4009,0.024
574,개념,개념,k ɛ n jʌ m,NNG,4006,0.024
575,조금__01,조금,tɕ o k ɯ m,NNG,3990,0.024
575,공간__05,공간,k o ŋ k ɑ n,NNG,3990,0.024
577,진행__02,진행,tɕ i n h ɛ ŋ,NNG,3981,0.024
579,자금__08,자금,tɕ ɑ k ɯ m,NNG,3980,0.024
581,직접,직접,tɕ i k tɕ* ʌ p,MAG,3970,0.024
582,프로그램,프로그램,pʰ ɯ l o k ɯ l ɛ m,NNG,3966,0.024
583,형성__01,형성,h jʌ ŋ sʰ ʌ ŋ,NNG,3958,0.024
584,시절__01,시절,sʰ i tɕ ʌ l,NNG,3944,0.024
585,사상__15,사상,sʰ ɑ sʰ ɑ ŋ,NNG,3940,0.024
586,일,일,i l,NR,3936,0.024
587,자__18,자,tɕ ɑ,NNB,3935,0.024
587,기간__07,기간,k i k ɑ n,NNG,3935,0.024
589,성장__01,성장,sʰ ʌ ŋ tɕ ɑ ŋ,NNG,3933,0.024
590,성격__02,성격,sʰ ʌ ŋ k jʌ k,NNG,3924,0.024
591,느낌,느낌,n ɯ k* i m,NNG,3916,0.024
592,성공__01,성공,sʰ ʌ ŋ k o ŋ,NNG,3913,0.024
