 ,front,back unrounded,back rounded
high,i,ɯ,u
mid ,ɛ,ʌ,o
low ,,,ɑ
GLIDE_high,ju,ɰi,wi
GLIDE_mid1,jɛ,,wɛ
GLIDE_mid2,jʌ,jo,wʌ
GLIDE_low,jɑ,,wɑ
